,Date,Open,High,Low,Close,Adj Close,Volume,sma20,sma100,sma200,bb_bbh,bb_bbl,sma_100_200_diff,bb_diff,sma_100_200_diff_buy,sma_100_200_diff_sell,bb_diff_buy,bb_diff_sell,sma_100_buy,sma_100_sell,sma_200_buy,sma_200_sell,sma_100_bb_bbh_buy,sma_200_bb_bbh_buy,sma_100_bb_bbl_sell,sma_200_bb_bbl_sell,BUY_SELL_FLAG,BUY_SELL_SIGNAL
74,2021-02-13,47491.203125,48047.746094,46392.28125,47105.515625,47105.515625,70250456155,38520.499609449995,30652.84312509333,30652.84312509333,50125.58868546449,26915.410533435494,0.0,23210.178152029,0,0,1,0,1,0,1,0,1,1,1,1,_,-
75,2021-02-14,47114.507813,49487.640625,47114.507813,48717.289063,48717.289063,71248675228,39338.04443369999,30890.533203223684,30890.533203223684,51388.972641298635,27287.116226101352,0.0,24101.856415197282,0,0,1,0,1,0,1,0,1,1,1,1,_,-
76,2021-02-15,48696.535156,48875.570313,46347.476563,47945.058594,47945.058594,77069903166,40106.80488295,31112.02054596104,31112.02054596104,52293.49214674216,27920.117619157834,0.0,24373.374527584325,0,0,1,0,1,0,1,0,1,1,1,1,_,-
77,2021-02-16,47944.457031,50341.101563,47201.304688,49199.871094,49199.871094,77049582886,41045.1710939,31343.916065807694,31343.916065807694,52995.557652706135,29094.78453509386,0.0,23900.773117612276,0,0,1,0,1,0,1,0,1,1,1,1,_,-
78,2021-02-17,49207.277344,52533.914063,49072.378906,52149.007813,52149.007813,80820545404,41979.31660175,31607.271657544305,31607.271657544305,54328.07341071743,29630.559792782566,0.0,24697.513617934863,0,0,1,0,1,0,1,0,1,1,1,1,_,-
79,2021-02-18,52140.972656,52474.105469,51015.765625,51679.796875,51679.796875,52054723579,42847.48710955,31858.1782227625,31858.1782227625,55359.58842121299,30335.385797887007,0.0,25024.202623325982,0,0,1,0,1,0,1,0,1,1,1,1,_,-
80,2021-02-19,51675.980469,56113.652344,50937.277344,55888.132813,55888.132813,63495496918,43928.4175783,32154.844328814812,32154.844328814812,57011.78230006504,30845.052856534967,0.0,26166.729443530072,0,0,1,0,1,0,1,0,1,1,1,1,_,-
81,2021-02-20,55887.335938,57505.226563,54626.558594,56099.519531,56099.519531,68145460026,45077.6755861,32446.852562987802,32446.852562987802,58197.4938071154,31957.857365084594,0.0,26239.63644203081,0,0,1,0,1,0,1,0,1,1,1,1,_,-
82,2021-02-21,56068.566406,58330.570313,55672.609375,57539.945313,57539.945313,51897585191,46277.8140627,32749.178981662648,32749.178981662648,59346.60539546386,33209.02272993614,0.0,26137.58266552772,0,0,1,0,1,0,1,0,1,1,0,0,_,-
83,2021-02-22,57532.738281,57533.390625,48967.566406,54207.320313,54207.320313,92052420332,47212.6656252,33004.633045130955,33004.633045130955,59730.054013940106,34695.2772364599,0.0,25034.776777480205,0,0,1,0,1,0,1,0,1,1,1,1,_,-
