INFO 2022-10-04 05:45:01,212 Symbol:  ETHUSD | Position:    6 | close price:  1326.08 | Side:  BUY \U0001f7e2 | Profits:  -9247.13 | Quantity:    1 \U0001f911
INFO 2022-10-04 05:46:04,876 Symbol:  ETHUSD | Position:    7 | close price:  1325.51 | Side:  BUY \U0001f7e2 | Profits: -10572.64 | Quantity:    1 \U0001f911
INFO 2022-10-04 05:47:02,113 Symbol:  ETHUSD | Position:    8 | close price:   1325.2 | Side:  BUY \U0001f7e2 | Profits: -11897.84 | Quantity:    1 \U0001f911
INFO 2022-10-04 05:48:06,276 Symbol:  ETHUSD | Position:    9 | close price:  1324.09 | Side:  BUY \U0001f7e2 | Profits: -13221.93 | Quantity:    1 \U0001f911
INFO 2022-10-04 05:49:01,244 Symbol:  ETHUSD | Position:   10 | close price:  1323.99 | Side:  BUY \U0001f7e2 | Profits: -14545.92 | Quantity:    1 \U0001f911
INFO 2022-10-04 05:51:01,729 Symbol:  ETHUSD | Position:   11 | close price:  1324.49 | Side: SELL \U0001f534 | Profits: -13221.43 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 05:52:01,582 Symbol:  ETHUSD | Position:   10 | close price:  1323.73 | Side: SELL \U0001f534 | Profits: -11897.70 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 05:53:01,432 Symbol:  ETHUSD | Position:    9 | close price:   1324.0 | Side: SELL \U0001f534 | Profits: -10573.70 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 05:54:01,506 Symbol:  ETHUSD | Position:    8 | close price:  1322.91 | Side: SELL \U0001f534 | Profits:  -9250.79 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 05:55:01,352 Symbol:  ETHUSD | Position:    7 | close price:  1323.63 | Side: SELL \U0001f534 | Profits:  -7927.16 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 05:56:01,245 Symbol:  ETHUSD | Position:    6 | close price:  1323.75 | Side: SELL \U0001f534 | Profits:  -6603.41 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 05:57:01,207 Symbol:  ETHUSD | Position:    5 | close price:  1324.09 | Side: SELL \U0001f534 | Profits:  -5279.32 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 05:58:01,232 Symbol:  ETHUSD | Position:    4 | close price:   1323.3 | Side: SELL \U0001f534 | Profits:  -3956.02 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 05:59:01,234 Symbol:  ETHUSD | Position:    3 | close price:  1323.02 | Side: SELL \U0001f534 | Profits:  -2633.00 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 06:00:01,316 Symbol:  ETHUSD | Position:    2 | close price:  1323.28 | Side: SELL \U0001f534 | Profits:  -1309.72 | Quantity:    1 \U0001f4b5
