INFO 2022-12-19 16:02:01,029 Symbol:  ETHUSD | Position:   57 | close price:  1184.66 | Side:  BUY 🟢 | Profits: -30790.89 | Quantity:    1 🤑
INFO 2022-12-19 16:03:00,412 Symbol:  ETHUSD | Position:   58 | close price:  1184.76 | Side:  BUY 🟢 | Profits: -31975.65 | Quantity:    1 🤑
INFO 2022-12-19 16:04:04,292 Symbol:  ETHUSD | Position:   59 | close price:  1184.78 | Side:  BUY 🟢 | Profits: -33160.43 | Quantity:    1 🤑
INFO 2022-12-19 16:05:03,687 Symbol:  ETHUSD | Position:   60 | close price:  1184.53 | Side: SELL 🔴 | Profits: -31975.90 | Quantity:    1 💵
INFO 2022-12-19 16:06:03,803 Symbol:  ETHUSD | Position:   59 | close price:  1184.48 | Side: SELL 🔴 | Profits: -30791.42 | Quantity:    1 💵
INFO 2022-12-19 16:07:03,293 Symbol:  ETHUSD | Position:   58 | close price:  1184.71 | Side: SELL 🔴 | Profits: -29606.71 | Quantity:    1 💵
INFO 2022-12-19 16:08:05,412 Symbol:  ETHUSD | Position:   57 | close price:  1184.89 | Side: SELL 🔴 | Profits: -28421.82 | Quantity:    1 💵
INFO 2022-12-19 16:09:08,006 Symbol:  ETHUSD | Position:   56 | close price:  1184.21 | Side: SELL 🔴 | Profits: -27237.61 | Quantity:    1 💵
INFO 2022-12-19 16:10:02,566 Symbol:  ETHUSD | Position:   55 | close price:  1184.07 | Side: SELL 🔴 | Profits: -26053.54 | Quantity:    1 💵
INFO 2022-12-19 16:11:05,113 Symbol:  ETHUSD | Position:   54 | close price:  1183.67 | Side: SELL 🔴 | Profits: -24869.87 | Quantity:    1 💵
INFO 2022-12-19 16:12:00,481 Symbol:  ETHUSD | Position:   53 | close price:  1183.89 | Side: SELL 🔴 | Profits: -23685.98 | Quantity:    1 💵
INFO 2022-12-19 16:13:06,623 Symbol:  ETHUSD | Position:   52 | close price:  1184.26 | Side: SELL 🔴 | Profits: -22501.72 | Quantity:    1 💵
INFO 2022-12-19 16:14:01,963 Symbol:  ETHUSD | Position:   51 | close price:  1184.39 | Side: SELL 🔴 | Profits: -21317.33 | Quantity:    1 💵
INFO 2022-12-19 16:15:04,693 Symbol:  ETHUSD | Position:   50 | close price:  1184.81 | Side: SELL 🔴 | Profits: -20132.52 | Quantity:    1 💵
INFO 2022-12-19 16:16:03,410 Symbol:  ETHUSD | Position:   49 | close price:  1184.96 | Side: SELL 🔴 | Profits: -18947.56 | Quantity:    1 💵
INFO 2022-12-19 16:17:03,909 Symbol:  ETHUSD | Position:   48 | close price:  1185.12 | Side: SELL 🔴 | Profits: -17762.44 | Quantity:    1 💵
INFO 2022-12-19 16:18:01,971 Symbol:  ETHUSD | Position:   47 | close price:  1186.42 | Side:  BUY 🟢 | Profits: -18948.86 | Quantity:    1 🤑
INFO 2022-12-19 16:19:03,127 Symbol:  ETHUSD | Position:   48 | close price:  1187.45 | Side:  BUY 🟢 | Profits: -20136.31 | Quantity:    1 🤑
INFO 2022-12-19 16:20:00,327 Symbol:  ETHUSD | Position:   49 | close price:  1187.51 | Side:  BUY 🟢 | Profits: -21323.82 | Quantity:    1 🤑
INFO 2022-12-19 16:21:03,683 Symbol:  ETHUSD | Position:   50 | close price:   1187.1 | Side:  BUY 🟢 | Profits: -22510.92 | Quantity:    1 🤑
INFO 2022-12-19 16:22:01,680 Symbol:  ETHUSD | Position:   51 | close price:  1187.39 | Side:  BUY 🟢 | Profits: -23698.31 | Quantity:    1 🤑
INFO 2022-12-19 16:23:02,010 Symbol:  ETHUSD | Position:   52 | close price:  1187.48 | Side:  BUY 🟢 | Profits: -24885.79 | Quantity:    1 🤑
INFO 2022-12-19 16:24:04,621 Symbol:  ETHUSD | Position:   53 | close price:  1187.44 | Side:  BUY 🟢 | Profits: -26073.23 | Quantity:    1 🤑
INFO 2022-12-19 16:25:01,142 Symbol:  ETHUSD | Position:   54 | close price:  1187.88 | Side:  BUY 🟢 | Profits: -27261.11 | Quantity:    1 🤑
INFO 2022-12-19 16:26:03,362 Symbol:  ETHUSD | Position:   55 | close price:  1187.73 | Side:  BUY 🟢 | Profits: -28448.84 | Quantity:    1 🤑
INFO 2022-12-19 16:27:00,705 Symbol:  ETHUSD | Position:   56 | close price:  1187.51 | Side:  BUY 🟢 | Profits: -29636.35 | Quantity:    1 🤑
INFO 2022-12-19 16:28:01,030 Symbol:  ETHUSD | Position:   57 | close price:   1186.4 | Side:  BUY 🟢 | Profits: -30822.75 | Quantity:    1 🤑
INFO 2022-12-19 16:29:02,380 Symbol:  ETHUSD | Position:   58 | close price:  1186.73 | Side:  BUY 🟢 | Profits: -32009.48 | Quantity:    1 🤑
